Date,Time,Source,Street,Tags,Link
19 ottobre 2019,15:09,MilanoToday,Piazza Duca d'Aosta,droga,https://www.milanotoday.it/zone/loreto/stazione-centrale/ovuli-droga-.html
16 ottobre 2019,09:27,MilanoToday,Piazza Duca d'Aosta,"rapine,aggressioni",https://www.milanotoday.it/zone/loreto/stazione-centrale/rapina-punteruolo-telefono.html
14 ottobre 2019,12:58,MilanoToday,Piazza Duca d'Aosta,droga,https://www.milanotoday.it/cronaca/ingoia-ovuli-eroina.html
10 ottobre 2019,17:20,MilanoToday,Piazza Duca d'Aosta,indagini,https://www.milanotoday.it/cronaca/truffa-diamante-soldi-falsi-gallia.html
08 ottobre 2019,15:33,MilanoToday,Piazza Duca d'Aosta,"furti,arresti",https://www.milanotoday.it/zone/loreto/stazione-centrale/furto-telefono-estorsione-bagni.html
08 ottobre 2019,15:12,MilanoToday,Piazza Duca d'Aosta,furti,https://www.milanotoday.it/cronaca/pio-amedeo-ladra.html
30 settembre 2019,12:25,MilanoToday,Piazza Duca d'Aosta,aggressioni,https://www.milanotoday.it/cronaca/accoltellato-stazione-rissa.html
22 settembre 2019,10:57,MilanoToday,Piazza Duca d'Aosta,aggressioni,https://www.milanotoday.it/cronaca/accoltellata-donna-incinta-.html
19 settembre 2019,13:33,MilanoToday,Piazza Duca d'Aosta,aggressioni,https://www.milanotoday.it/cronaca/poliziotti-picchiati-via-gioia.html
26 agosto 2019,14:09,MilanoToday,Piazza Duca d'Aosta,"droga,arresti",https://www.milanotoday.it/cronaca/spacciatori-arrestati-week-end-droga.html
16 agosto 2019,15:16,MilanoToday,Piazza Duca d'Aosta,furti,https://www.milanotoday.it/zone/loreto/stazione-centrale/skimmer-carte-credito-macchinette-biglietti.html
14 agosto 2019,13:45,MilanoToday,Piazza Duca d'Aosta,"rapine,aggressioni",https://www.milanotoday.it/cronaca/accoltellato-rapina-stazione-centrale.html
02 agosto 2019,16:54,MilanoToday,Piazza Duca d'Aosta,"furti,arresti",https://www.milanotoday.it/cronaca/arresto-ladre-metro-mappa.html
01 agosto 2019,08:16,MilanoToday,Piazza Duca d'Aosta,rapine,https://www.milanotoday.it/cronaca/rapina-linciaggio-stazione.html
31 luglio 2019,16:28,MilanoToday,Piazza Duca d'Aosta,arresti,https://www.milanotoday.it/cronaca/arresto-finto-invalido.html
22 luglio 2019,14:00,MilanoToday,Piazza Duca d'Aosta,arresti,https://www.milanotoday.it/zone/loreto/stazione-centrale/pizzo-estorsione-venditori-abusivi.html
20 luglio 2019,13:35,MilanoToday,Piazza Duca d'Aosta,"rapine,furti,arresti,aggressioni",https://www.milanotoday.it/cronaca/rapinatore-senza-gambe-stazione.html
11 giugno 2019,13:08,MilanoToday,Piazza Duca d'Aosta,"furti,arresti",https://www.milanotoday.it/zone/loreto/stazione-centrale/arresto-ladre-incinte-metro.html
07 giugno 2019,14:01,MilanoToday,Piazza Duca d'Aosta,"rapine,arresti",https://www.milanotoday.it/cronaca/rapinatore-senza-gambe.html
31 maggio 2019,12:49,MilanoToday,Piazza Duca d'Aosta,arresti,https://www.milanotoday.it/cronaca/arresto-centrale--.html
26 maggio 2019,13:25,MilanoToday,Piazza Duca d'Aosta,"arresti,aggressioni",https://www.milanotoday.it/cronaca/picchia-poliziotto-pistola.html
29 aprile 2019,09:37,MilanoToday,Piazza Duca d'Aosta,"furti,arresti",https://www.milanotoday.it/zone/loreto/stazione-centrale/furto-binari-ladro.html
18 aprile 2019,15:39,MilanoToday,Piazza Duca d'Aosta,"droga,arresti",https://www.milanotoday.it/zone/loreto/stazione-centrale/arrestato-mangia-droga.html
10 aprile 2019,18:24,MilanoToday,Piazza Duca d'Aosta,furti,https://www.milanotoday.it/cronaca/rubano-monopattino-stazione.html
03 aprile 2019,17:54,MilanoToday,Piazza Duca d'Aosta,arresti,https://www.milanotoday.it/cronaca/arrestata-ricercata-ladra-stazione.html
28 marzo 2019,14:01,MilanoToday,Piazza Duca d'Aosta,"droga,arresti",https://www.milanotoday.it/zone/loreto/stazione-centrale/arresto-spaccio-rissa.html
08 marzo 2019,14:01,MilanoToday,Piazza Duca d'Aosta,"arresti,aggressioni",https://www.milanotoday.it/cronaca/accoltellati-stazione-centrale.html
16 febbraio 2019,14:00,MilanoToday,Piazza Duca d'Aosta,"arresti,aggressioni",https://www.milanotoday.it/zone/loreto/stazione-centrale/arrestato-aggredisce-agenti.html
16 febbraio 2019,09:32,MilanoToday,Piazza Duca d'Aosta,"droga,aggressioni",https://www.milanotoday.it/zone/loreto/stazione-centrale/salvo-veneziano-gf-aggredito.html
10 febbraio 2019,19:10,MilanoToday,Piazza Duca d'Aosta,droga,https://www.milanotoday.it/zone/loreto/stazione-centrale/spaccio-arrestata-duca-aosta.html
08 febbraio 2019,14:16,MilanoToday,Piazza Duca d'Aosta,"droga,arresti",https://www.milanotoday.it/zone/niguarda/isola-garibaldi/arrestato-spaccio-sotto-bosco-verticale.html
07 febbraio 2019,14:49,MilanoToday,Piazza Duca d'Aosta,"rapine,arresti",https://www.milanotoday.it/zone/loreto/stazione-centrale/arrestato-violenza-sessuale-escort-verbania.html
05 febbraio 2019,12:54,MilanoToday,Piazza Duca d'Aosta,"arresti,aggressioni",https://www.milanotoday.it/zone/loreto/stazione-centrale/arrestato-spranga-poliziotto.html
22 gennaio 2019,08:47,MilanoToday,Piazza Duca d'Aosta,"droga,aggressioni",https://www.milanotoday.it/cronaca/brumotti-aggredito-video.html
21 gennaio 2019,17:27,MilanoToday,Piazza Duca d'Aosta,droga,https://www.milanotoday.it/cronaca/brumotti-aggredito-stazione.html
07 gennaio 2019,16:42,MilanoToday,Piazza Duca d'Aosta,arresti,https://www.milanotoday.it/zone/loreto/stazione-centrale/arresti-.html
07 gennaio 2019,14:59,MilanoToday,Piazza Duca d'Aosta,"rapine,arresti",https://www.milanotoday.it/zone/loreto/stazione-centrale/rapina-anziani-.html
03 gennaio 2019,13:07,MilanoToday,Piazza Duca d'Aosta,droga,https://www.milanotoday.it/zone/loreto/stazione-centrale/spaccio-duca-aosta-2-gennaio-2019.html
27 dicembre 2018,13:49,MilanoToday,Piazza Duca d'Aosta,droga,https://www.milanotoday.it/cronaca/spaccio-arresti-26-dicembre-2018.html
19 dicembre 2018,13:44,MilanoToday,Piazza Duca d'Aosta,arresti,https://www.milanotoday.it/zone/loreto/stazione-centrale/rissa-oggi-arresti.html
18 dicembre 2018,08:52,MilanoToday,Piazza Duca d'Aosta,morti,https://www.milanotoday.it/zone/barona/porta-genova/clochard-morto-stazione.html
29 novembre 2018,09:56,MilanoToday,Piazza Duca d'Aosta,arresti,https://www.milanotoday.it/zone/loreto/stazione-centrale/ragazza-molestata-libero-violenza-sessuale.html
28 novembre 2018,18:48,MilanoToday,Piazza Duca d'Aosta,"arresti,aggressioni",https://www.milanotoday.it/cronaca/ragazza-aggredita-metro-scarcerato.html
26 novembre 2018,13:34,MilanoToday,Piazza Duca d'Aosta,"arresti,aggressioni",https://www.milanotoday.it/zone/loreto/stazione-centrale/ragazza-aggredita-molestata-metro.html
12 novembre 2018,13:01,MilanoToday,Piazza Duca d'Aosta,arresti,https://www.milanotoday.it/zone/loreto/stazione-centrale/ladre-arrestate-.html
29 ottobre 2018,18:02,MilanoToday,Piazza Duca d'Aosta,furti,https://www.milanotoday.it/zone/loreto/stazione-centrale/furti-stazione-arresti.html
13 ottobre 2018,14:32,MilanoToday,Piazza Duca d'Aosta,furti,https://www.milanotoday.it/zone/loreto/stazione-centrale/arrestata-stazione-furti-condanna.html
01 ottobre 2018,08:12,MilanoToday,Piazza Duca d'Aosta,furti,https://www.milanotoday.it/zone/loreto/stazione-centrale/furto-zaini-turisti.html
24 settembre 2018,21:30,MilanoToday,Piazza Duca d'Aosta,droga,https://www.milanotoday.it/video/controlli-oggi-stazione.html
18 settembre 2018,17:05,MilanoToday,Piazza Duca d'Aosta,arresti,https://www.milanotoday.it/zone/loreto/stazione-centrale/arrestato-biglietti-soldi.html
04 settembre 2018,13:09,MilanoToday,Piazza Duca d'Aosta,aggressioni,https://www.milanotoday.it/zone/loreto/stazione-centrale/accoltellato-cavatappi.html
31 agosto 2018,15:00,MilanoToday,Piazza Duca d'Aosta,arresti,https://www.milanotoday.it/cronaca/arresto-stazione-centrale.html
27 agosto 2018,16:24,MilanoToday,Piazza Duca d'Aosta,furti,https://www.milanotoday.it/zone/loreto/stazione-centrale/furto-ascensore.html
24 agosto 2018,13:14,MilanoToday,Piazza Duca d'Aosta,aggressioni,https://www.milanotoday.it/zone/loreto/stazione-centrale/addetto-atm-picchiato.html
24 luglio 2018,08:55,MilanoToday,Piazza Duca d'Aosta,indagini,https://www.milanotoday.it/cronaca/leghista-pistola-stazione-centrale.html
13 luglio 2018,11:45,MilanoToday,Piazza Duca d'Aosta,"furti,arresti",https://www.milanotoday.it/cronaca/furto-turisti-stazione-centrale.html
26 giugno 2018,16:04,MilanoToday,Piazza Duca d'Aosta,arresti,https://www.milanotoday.it/zone/loreto/stazione-centrale/arresto-duca-d-aosta.html
23 giugno 2018,09:30,MilanoToday,Piazza Duca d'Aosta,"furti,arresti",https://www.milanotoday.it/zone/loreto/stazione-centrale/inseguimento-arresto-stazione.html
11 giugno 2018,09:09,MilanoToday,Piazza Duca d'Aosta,aggressioni,https://www.milanotoday.it/video/autista-ncc-aggredito-tassisti.html
10 giugno 2018,18:57,MilanoToday,Piazza Duca d'Aosta,incidenti,https://www.milanotoday.it/cronaca/perde-cellulare-precipita-grata.html
04 giugno 2018,16:46,MilanoToday,Piazza Duca d'Aosta,"furti,arresti,aggressioni",https://www.milanotoday.it/zone/loreto/stazione-centrale/arresti-sabato-domenica.html
16 maggio 2018,17:35,MilanoToday,Piazza Duca d'Aosta,furti,https://www.milanotoday.it/zone/loreto/stazione-centrale/furto-rom-15-maggio.html
30 aprile 2018,11:45,MilanoToday,Piazza Duca d'Aosta,rapine,https://www.milanotoday.it/cronaca/omicidi-rapine-fermo-convalidato.html
09 aprile 2018,10:47,MilanoToday,Piazza Duca d'Aosta,"furti,arresti",https://www.milanotoday.it/zone/loreto/stazione-centrale/arresto-metro-incinte.html
04 aprile 2018,13:28,MilanoToday,Piazza Duca d'Aosta,rapine,https://www.milanotoday.it/zone/loreto/stazione-centrale/rapina-duca-aosta-4-aprile-2018.html
30 marzo 2018,13:54,MilanoToday,Piazza Duca d'Aosta,droga,https://www.milanotoday.it/zone/loreto/stazione-centrale/lanci-bottiglie-polizia-arresti.html
02 marzo 2018,12:34,MilanoToday,Piazza Duca d'Aosta,aggressioni,https://www.milanotoday.it/cronaca/hosni-condanna.html
09 febbraio 2018,19:06,MilanoToday,Piazza Duca d'Aosta,indagini,https://www.milanotoday.it/cronaca/morte-pamela-ragazzo.html
08 febbraio 2018,15:48,MilanoToday,Piazza Duca d'Aosta,"droga,arresti",https://www.milanotoday.it/zone/loreto/stazione-centrale/spaccio-arresti-duca-aosta.html
08 febbraio 2018,12:38,MilanoToday,Piazza Duca d'Aosta,aggressioni,https://www.milanotoday.it/cronaca/richiesta-carcere-hosni.html
21 gennaio 2018,13:34,MilanoToday,Piazza Duca d'Aosta,droga,https://www.milanotoday.it/zone/loreto/stazione-centrale/droga-cestino.html
11 gennaio 2018,09:06,MilanoToday,Piazza Duca d'Aosta,"rapine,arresti,aggressioni",https://www.milanotoday.it/cronaca/rapina-treno-piacenza.html
10 gennaio 2018,15:41,MilanoToday,Piazza Duca d'Aosta,droga,https://www.milanotoday.it/zone/loreto/stazione-centrale/spaccio-cocaina-carta.html
Date,Time,Source,Street,Tags,Link
05 ottobre 2021,12:48,MilanoToday,Via Messina,indagini,https://www.milanotoday.it/cronaca/aereo-caduto-indagini.html
29 settembre 2021,12:40,MilanoToday,Via Messina,incidenti,https://www.milanotoday.it/cronaca/incidente-stradale/persona-investita-via-messina.html
13 luglio 2021,14:40,MilanoToday,Via Messina,incidenti,https://www.milanotoday.it/cronaca/incidente-stradale/ribaltamento-via-messina.html
04 maggio 2021,15:43,MilanoToday,Via Messina,aggressioni,https://www.milanotoday.it/cronaca/cane-morde-donna-lite.html
28 dicembre 2020,08:57,MilanoToday,Via Messina,incidenti,https://www.milanotoday.it/cronaca/neve-traliccio-cade-ferita-via-sanzio.html
11 settembre 2020,12:23,MilanoToday,Via Messina,"rapine,arresti",https://www.milanotoday.it/cronaca/rapina-gioielliere-duchini-fischer.html
10 settembre 2020,08:20,MilanoToday,Via Messina,incidenti,https://www.milanotoday.it/cronaca/incidente-stradale/via-emilia-san-giuliano-milanese-10-settembre-2020.html
02 settembre 2020,15:22,MilanoToday,Via Messina,rapine,https://www.milanotoday.it/cronaca/rapina-vigevano-picchia-donna.html
28 aprile 2020,12:46,MilanoToday,Via Messina,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/via-primaticcio-ribaltamento.html
10 gennaio 2020,08:36,MilanoToday,Via Messina,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/abbiategrasso-via-dante-elisoccorso.html
09 dicembre 2019,17:43,MilanoToday,Via Messina,"droga,arresti",https://www.milanotoday.it/cronaca/cocaina-buccinasco-focus-air-bag.html
01 luglio 2019,16:09,MilanoToday,Via Messina,arresti,https://www.milanotoday.it/cronaca/arrestato-imprenditore-caso-arata.html
02 maggio 2019,08:05,MilanoToday,Via Messina,incidenti,https://www.milanotoday.it/cronaca/incidente-stradale/viale-romagna-moretto-da-brescia.html
15 dicembre 2018,09:48,MilanoToday,Via Messina,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/via-bergamo-ribaltata.html
20 ottobre 2018,12:09,MilanoToday,Via Messina,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/via-marescalchi-stanotte.html
10 ottobre 2018,15:13,MilanoToday,Via Messina,furti,https://www.milanotoday.it/cronaca/furto-gioielleria-sarpi-showroom.html
31 luglio 2018,09:17,MilanoToday,Via Messina,incidenti-stradali,https://www.milanotoday.it/cronaca/auto-ribaltata-vignate.html
30 giugno 2018,23:28,MilanoToday,Via Messina,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/via-silva-.html
07 gennaio 2018,09:32,MilanoToday,Via Messina,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/_morta-ragazza-milano-meda_.html
Date,Time,Source,Street,Tags,Link
24 agosto 2021,11:51,MilanoToday,Via Paolo Sarpi,incidenti,https://www.milanotoday.it/cronaca/incidente-stradale/via-canonica-ciclista-grave.html
21 luglio 2021,12:16,MilanoToday,Via Paolo Sarpi,morti,https://www.milanotoday.it/cronaca/uomo_morto-via-canonica.html
21 maggio 2021,09:24,MilanoToday,Via Paolo Sarpi,incidenti,https://www.milanotoday.it/cronaca/incidente-stradale/via-lomazzo-auto.html
12 dicembre 2020,10:04,MilanoToday,Via Paolo Sarpi,arresti,https://www.milanotoday.it/video/droga-whatsapp-domicilio.html
12 dicembre 2020,09:02,MilanoToday,Via Paolo Sarpi,"droga,arresti",https://www.milanotoday.it/cronaca/droga-whatsapp-arresti.html
12 novembre 2020,13:33,MilanoToday,Via Paolo Sarpi,morti,https://www.milanotoday.it/attualita/coronavirus/morto-berni-fornaio-sarpi.html
25 gennaio 2020,15:32,MilanoToday,Via Paolo Sarpi,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/auto-tram-bramante.html
06 novembre 2019,16:55,MilanoToday,Via Paolo Sarpi,aggressioni,https://www.milanotoday.it/zone/paolo-sarpi-chinatown/aggressione-lite-locale.html
25 maggio 2019,15:12,MilanoToday,Via Paolo Sarpi,"droga,arresti",https://www.milanotoday.it/zone/paolo-sarpi-chinatown/arresti-ecstasy-rolex-ketamina.html
27 febbraio 2019,14:21,MilanoToday,Via Paolo Sarpi,arresti,https://www.milanotoday.it/cronaca/picchia-mamma-droga-arrestato.html
05 febbraio 2019,13:36,MilanoToday,Via Paolo Sarpi,aggressioni,https://www.milanotoday.it/zone/paolo-sarpi-chinatown/rissa-stanotte-arresti.html
10 ottobre 2018,15:13,MilanoToday,Via Paolo Sarpi,furti,https://www.milanotoday.it/cronaca/furto-gioielleria-sarpi-showroom.html
19 settembre 2018,18:36,MilanoToday,Via Paolo Sarpi,droga,https://www.milanotoday.it/cronaca/shaboo-minorenne-arrestato-cenisio.html
Date,Time,Source,Street,Tags,Link
08 settembre 2019,16:22,MilanoToday,Viale Pasubio,rapine,https://www.milanotoday.it/zone/niguarda/porta-nuova/rapina-pausbio-collana.html
02 dicembre 2018,13:07,MilanoToday,Viale Pasubio,rapine,https://www.milanotoday.it/cronaca/rapine-stanotte.html
Date,Time,Source,Street,Tags,Link
23 gennaio 2020,13:31,MilanoToday,Piazza 25 Aprile,"arresti,aggressioni",https://www.milanotoday.it/cronaca/picchia-donne-cani-greco.html
26 dicembre 2019,19:01,MilanoToday,Piazza 25 Aprile,morti,https://www.milanotoday.it/politica/morto-lucio-berte.html
08 agosto 2019,17:05,MilanoToday,Piazza 25 Aprile,morti,https://www.milanotoday.it/economia/morto-ministro-saccomanni.html
29 aprile 2019,08:26,MilanoToday,Piazza 25 Aprile,morti,https://www.milanotoday.it/cronaca/morto-libero-traversa.html
04 gennaio 2019,09:17,MilanoToday,Piazza 25 Aprile,morti,https://www.milanotoday.it/cronaca/morta-via-lulli-eredita.html
Date,Time,Source,Street,Tags,Link
10 ottobre 2021,17:54,MilanoToday,Viale Monte Grappa,"rapine,furti",https://www.milanotoday.it/cronaca/rapina-viale-monte-grappa.html
09 giugno 2018,13:57,MilanoToday,Viale Monte Grappa,arresti,https://www.milanotoday.it/cronaca/armato-stazione-sesto.html
Date,Time,Source,Street,Tags,Link
15 marzo 2020,13:55,MilanoToday,Piazza Luigi Einaudi,morti,https://www.milanotoday.it/attualita/coronavirus/architetto-vittorio-gregotti-morto.html
20 dicembre 2018,18:07,MilanoToday,Piazza Luigi Einaudi,morti,https://www.milanotoday.it/cronaca/morto-pinketts.html
Date,Time,Source,Street,Tags,Link
21 ottobre 2021,13:26,MilanoToday,Corso Buenos Aires,rapine,https://www.milanotoday.it/cronaca/rapina-via-marocco-20-ottobre-2021.html
29 settembre 2021,12:17,MilanoToday,Corso Buenos Aires,arresti,https://www.milanotoday.it/cronaca/ragazza-molestata-via-benedetto-marcello.html
22 settembre 2021,17:20,MilanoToday,Corso Buenos Aires,"morti,incidenti",https://www.milanotoday.it/cronaca/morta-corso-buenos-aires-lima-plinio.html
05 settembre 2021,12:43,MilanoToday,Corso Buenos Aires,"furti,arresti",https://www.milanotoday.it/cronaca/ladra-furti-corso-buenos-aires.html
31 agosto 2021,12:46,MilanoToday,Corso Buenos Aires,"indagini,rapine",https://www.milanotoday.it/cronaca/accoltellato-via-boscovich-cellulare.html
17 agosto 2021,15:38,MilanoToday,Corso Buenos Aires,"droga,furti",https://www.milanotoday.it/cronaca/daspo-corso-buenos-aires-duomo.html
11 agosto 2021,16:13,MilanoToday,Corso Buenos Aires,furti,https://www.milanotoday.it/zone/loreto/furto-buenos-aires-10-agosto-2021.html
15 luglio 2021,12:34,MilanoToday,Corso Buenos Aires,furti,https://www.milanotoday.it/cronaca/furto-mango-borsa-schermata.html
28 giugno 2021,13:31,MilanoToday,Corso Buenos Aires,"furti,arresti",https://www.milanotoday.it/cronaca/arrestato-portafogli-telefoni-rubati.html
04 giugno 2021,14:31,MilanoToday,Corso Buenos Aires,"incidenti-stradali,arresti",https://www.milanotoday.it/cronaca/inseguimento-montenapoleone-ieri.html
19 aprile 2021,14:46,MilanoToday,Corso Buenos Aires,"furti,arresti",https://www.milanotoday.it/cronaca/furti-auto-milano-arresti.html
16 aprile 2021,13:50,MilanoToday,Corso Buenos Aires,furti,https://www.milanotoday.it/cronaca/furto-zaini-ambulanza-monteverdi.html
16 marzo 2021,08:27,MilanoToday,Corso Buenos Aires,"furti,arresti",https://www.milanotoday.it/cronaca/tentato-furto-motorino-via-ponchielli.html
21 dicembre 2020,07:01,MilanoToday,Corso Buenos Aires,"droga,arresti",https://www.milanotoday.it/cronaca/droga-spaccio-liberati-arresti.html
30 ottobre 2020,07:50,MilanoToday,Corso Buenos Aires,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/incidente-auto-polizia-piazza-argentina.html
16 settembre 2020,09:34,MilanoToday,Corso Buenos Aires,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/auto-moto-corso-venezia.html
27 agosto 2020,07:45,MilanoToday,Corso Buenos Aires,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/corso-buenos-aires-moto-bus.html
21 agosto 2020,09:45,MilanoToday,Corso Buenos Aires,incidenti,https://www.milanotoday.it/cronaca/incidente-stradale/monopattino-moto-buenos-aires.html
27 luglio 2020,08:49,MilanoToday,Corso Buenos Aires,"rapine,arresti",https://www.milanotoday.it/cronaca/fidanzati-rapinati-nove-arresti.html
24 giugno 2020,07:44,MilanoToday,Corso Buenos Aires,"incidenti-stradali,morti",https://www.milanotoday.it/cronaca/incidente-stradale/morto-investito-via-masera.html
23 giugno 2020,17:05,MilanoToday,Corso Buenos Aires,incidenti,https://www.milanotoday.it/cronaca/incidente-stradale/pedone-investito_via-masera.html
12 giugno 2020,14:48,MilanoToday,Corso Buenos Aires,rapine,https://www.milanotoday.it/cronaca/rapina-via-benedetto-marcello.html
04 giugno 2020,13:44,MilanoToday,Corso Buenos Aires,"droga,arresti",https://www.milanotoday.it/cronaca/arrestato-audi-corso-buenos-aires.html
04 marzo 2020,15:48,MilanoToday,Corso Buenos Aires,"furti,arresti",https://www.milanotoday.it/cronaca/arrestato-ladro-nascosto-corso-buenos-aires.html
25 febbraio 2020,19:00,MilanoToday,Corso Buenos Aires,droga,https://www.milanotoday.it/cronaca/droga-nascosta-pasta.html
12 dicembre 2019,18:52,MilanoToday,Corso Buenos Aires,droga,https://www.milanotoday.it/cronaca/droga-ovetti-sorpresa.html
24 ottobre 2019,08:52,MilanoToday,Corso Buenos Aires,"droga,arresti",https://www.milanotoday.it/cronaca/arrestato-spaccio-polo.html
31 agosto 2019,12:21,MilanoToday,Corso Buenos Aires,aggressioni,https://www.milanotoday.it/cronaca/tommaso-zorsi-aggredito.html
28 agosto 2019,16:20,MilanoToday,Corso Buenos Aires,"droga,arresti",https://www.milanotoday.it/cronaca/arrestati-fidanzati-cocaina-centro.html
14 agosto 2019,15:08,MilanoToday,Corso Buenos Aires,"furti,arresti",https://www.milanotoday.it/cronaca/arrestato-scippo-orologio-400mila-euro.html
11 luglio 2019,14:04,MilanoToday,Corso Buenos Aires,rapine,https://www.milanotoday.it/cronaca/rapina-martello-farmacia-zara-.html
23 aprile 2019,13:44,MilanoToday,Corso Buenos Aires,"arresti,aggressioni",https://www.milanotoday.it/cronaca/martello-metro-vetrine-arrestato.html
17 marzo 2019,13:36,MilanoToday,Corso Buenos Aires,rapine,https://www.milanotoday.it/zone/loreto/stazione-centrale/rapina-via-lazzaretto-venini.html
17 marzo 2019,12:15,MilanoToday,Corso Buenos Aires,rapine,https://www.milanotoday.it/cronaca/rapine-corso-como-stazione.html
13 marzo 2019,13:34,MilanoToday,Corso Buenos Aires,droga,https://www.milanotoday.it/cronaca/arresti-eroina-porta-venezia.html
01 marzo 2019,11:02,MilanoToday,Corso Buenos Aires,aggressioni,https://www.milanotoday.it/politica/pipi-gazebo-decorato-condanna--.html
24 febbraio 2019,11:16,MilanoToday,Corso Buenos Aires,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/buenos-aires-domenica-24-febbraio.html
31 gennaio 2019,12:53,MilanoToday,Corso Buenos Aires,arresti,https://www.milanotoday.it/zone/lambrate/porta-venezia/ruba-pipi-upim.html
24 novembre 2018,21:24,MilanoToday,Corso Buenos Aires,furti,https://www.milanotoday.it/zone/lambrate/porta-venezia/rapine-farmacie-buenos-aires.html
27 ottobre 2018,18:04,MilanoToday,Corso Buenos Aires,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/pirata-strada-loreto-chi-e.html
27 ottobre 2018,09:22,MilanoToday,Corso Buenos Aires,incidenti-stradali,https://www.milanotoday.it/video/motorini-pirata-loreto.html
27 ottobre 2018,09:13,MilanoToday,Corso Buenos Aires,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/scooter-loreto-pirata-strada.html
23 agosto 2018,16:41,MilanoToday,Corso Buenos Aires,"furti,arresti",https://www.milanotoday.it/zone/lambrate/porta-venezia/furto-arresto-buenos-aires.html
29 maggio 2018,09:15,MilanoToday,Corso Buenos Aires,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/investito-via-scarlatti.html
24 maggio 2018,15:33,MilanoToday,Corso Buenos Aires,"droga,arresti",https://www.milanotoday.it/cronaca/spaccio-cocaina-taxi.html
23 aprile 2018,09:00,MilanoToday,Corso Buenos Aires,"rapine,furti,arresti",https://www.milanotoday.it/cronaca/arresti-salone-mobile.html
16 marzo 2018,15:38,MilanoToday,Corso Buenos Aires,"rapine,arresti",https://www.milanotoday.it/cronaca/rapina-rolex-arresti.html
12 febbraio 2018,15:09,MilanoToday,Corso Buenos Aires,rapine,https://www.milanotoday.it/zone/loreto/stazione-centrale/-rapina-arrestati-gemelli-egiziani.html
21 gennaio 2018,14:57,MilanoToday,Corso Buenos Aires,rapine,https://www.milanotoday.it/zone/lambrate/porta-venezia/rapina-upim_.html
Date,Time,Source,Street,Tags,Link
19 gennaio 2018,14:01,MilanoToday,Corso Giacomo Matteotti,furti,https://www.milanotoday.it/zone/centro/montenapoleone/furto-hogan-corso-matteotti.html
Date,Time,Source,Street,Tags,Link
20 ottobre 2021,13:07,MilanoToday,Corso Venezia,"rapine,arresti,aggressioni",https://www.milanotoday.it/cronaca/rapina-corso-venezia-arresti.html
18 ottobre 2021,11:21,MilanoToday,Corso Venezia,furti,https://www.milanotoday.it/cronaca/furto-casa-chiara-biasi.html
27 settembre 2021,14:12,MilanoToday,Corso Venezia,"rapine,arresti",https://www.milanotoday.it/cronaca/arresti-rapine-orologi-movida.html
22 settembre 2021,17:20,MilanoToday,Corso Venezia,"morti,incidenti",https://www.milanotoday.it/cronaca/morta-corso-buenos-aires-lima-plinio.html
09 settembre 2021,08:52,MilanoToday,Corso Venezia,indagini,https://www.milanotoday.it/cronaca/no-greenpass-perquisizioni.html
05 settembre 2021,12:43,MilanoToday,Corso Venezia,"furti,arresti",https://www.milanotoday.it/cronaca/ladra-furti-corso-buenos-aires.html
11 agosto 2021,16:13,MilanoToday,Corso Venezia,furti,https://www.milanotoday.it/zone/loreto/furto-buenos-aires-10-agosto-2021.html
02 agosto 2021,13:12,MilanoToday,Corso Venezia,"rapine,furti",https://www.milanotoday.it/video/ordinanza-movida.html
15 luglio 2021,12:34,MilanoToday,Corso Venezia,furti,https://www.milanotoday.it/cronaca/furto-mango-borsa-schermata.html
12 luglio 2021,14:00,MilanoToday,Corso Venezia,rapine,https://www.milanotoday.it/cronaca/rapina-rolex-lazzaretto.html
14 giugno 2021,17:10,MilanoToday,Corso Venezia,droga,https://www.milanotoday.it/cronaca/traffico-droga-pakistan.html
04 giugno 2021,15:35,MilanoToday,Corso Venezia,arresti,https://www.milanotoday.it/cronaca/arresti-cologno-spari-droga.html
09 marzo 2021,15:47,MilanoToday,Corso Venezia,arresti,https://www.milanotoday.it/cronaca/orologi-calciatori-gioielleria-mafia-fontana.html
04 marzo 2021,13:55,MilanoToday,Corso Venezia,arresti,https://www.milanotoday.it/cronaca/milanese-minacciata-foto-hot.html
23 dicembre 2020,13:15,MilanoToday,Corso Venezia,"rapine,furti",https://www.milanotoday.it/video/rapinatori-perquisiti-polizia.html
31 ottobre 2020,12:49,MilanoToday,Corso Venezia,"droga,arresti",https://www.milanotoday.it/cronaca/arresti-droga-polizia-.html
