Date,Time,Source,Street,Tags,Link
24 agosto 2019,09:37,MilanoToday,Viale Monza,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/viale-liberta_ubriaco-monza.html
20 agosto 2019,15:54,MilanoToday,Viale Monza,"droga,arresti",https://www.milanotoday.it/cronaca/ovuli-cocaina-auto-arrestato.html
08 agosto 2019,13:07,MilanoToday,Viale Monza,"indagini,aggressioni",https://www.milanotoday.it/cronaca/accoltellato-casa-via-primaticcio.html
04 agosto 2019,15:33,MilanoToday,Viale Monza,incidenti,https://www.milanotoday.it/cronaca/incidente-stradale/auto-moto-viale-sicilia.html
15 luglio 2019,16:58,MilanoToday,Viale Monza,droga,https://www.milanotoday.it/cronaca/droga-nascosta-auto-via-corazzini.html
24 giugno 2019,18:26,MilanoToday,Viale Monza,indagini,https://www.milanotoday.it/cronaca/turista-inglese-violentata-navigli.html
18 giugno 2019,15:32,MilanoToday,Viale Monza,arresti,https://www.milanotoday.it/cronaca/latitante-ricercato-arrestato-peru.html
01 giugno 2019,15:17,MilanoToday,Viale Monza,rapine,https://www.milanotoday.it/cronaca/furti-truffe-tocomocho.html
30 maggio 2019,14:04,MilanoToday,Viale Monza,droga,https://www.milanotoday.it/zone/loreto/crescenzago/arresto-viale-monza.html
25 maggio 2019,13:20,MilanoToday,Viale Monza,morti,https://www.milanotoday.it/cronaca/incendio/morto-martino-iacino.html
20 maggio 2019,18:02,MilanoToday,Viale Monza,"droga,arresti",https://www.milanotoday.it/cronaca/arresti-via-padova-droga-polizia.html
14 maggio 2019,16:13,MilanoToday,Viale Monza,"furti,arresti",https://www.milanotoday.it/cronaca/furto-gomma-auto-bancomat.html
13 maggio 2019,16:30,MilanoToday,Viale Monza,"droga,arresti",https://www.milanotoday.it/cronaca/spaccio-arresti-settimana.html
10 maggio 2019,00:05,MilanoToday,Viale Monza,droga,https://www.milanotoday.it/cronaca/supermercato-droga-stupro.html
29 aprile 2019,13:51,MilanoToday,Viale Monza,"arresti,aggressioni",https://www.milanotoday.it/cronaca/vigili-aggrediti-metro-turro.html
20 aprile 2019,08:50,MilanoToday,Viale Monza,rapine,https://www.milanotoday.it/cronaca/arrestati-rapinatori-donne-monza.html
17 aprile 2019,14:09,MilanoToday,Viale Monza,aggressioni,https://www.milanotoday.it/cronaca/ragazzino-disabile-picchiato.html
15 marzo 2019,13:11,MilanoToday,Viale Monza,"rapine,arresti",https://www.milanotoday.it/cronaca/rapina-critical-mass-arresti.html
03 febbraio 2019,16:52,MilanoToday,Viale Monza,rapine,https://www.milanotoday.it/cronaca/rapina-viale-monza-3-febbraio-2019.html
15 gennaio 2019,10:32,MilanoToday,Viale Monza,arresti,https://www.milanotoday.it/cronaca/rubano-pallet-lidl-sesto.html
13 gennaio 2019,08:33,MilanoToday,Viale Monza,arresti,https://www.milanotoday.it/cronaca/arrestato-pr-discoteche-corso-como.html
09 gennaio 2019,17:31,MilanoToday,Viale Monza,"droga,arresti",https://www.milanotoday.it/zone/loreto/greco/arrestato-ragazzo-spaccio-casa.html
09 gennaio 2019,17:01,MilanoToday,Viale Monza,"rapine,arresti",https://www.milanotoday.it/cronaca/arrestato-omicidio-rapina-peru.html
11 dicembre 2018,08:05,MilanoToday,Viale Monza,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/morto-cinisello-balsamo.html
